"DATAID","ASSIGNMENT","STRING","STRING","STRING","STRING","STRING","STRING","STRING","TARGET","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT"
"DATAID","ASSIGNMENT","Compound Group","CG2","Compound","SMILES","Formula","Source","Method","CN (Exp)","RotBFrac","TDB3s","MATS1e","VPC-4","ATSC2e","GATS1p","SPC-5","SHBint4","GATS7m","E3m","nwHBa","SpMax6_Bhp","SRW6","SP-6","AATS3e"
"0","L","Acids","","stearic acid","CCCCCCCCCCCCCCCCCC(=O)O","C18H36O2","NREL (2014)","Other Ignition Delay Method","62","0.842105263","4.898407673","-0.037853124","0.045643546","0.899909469","1.511895003","0.204124145","0","0.932099525","0.023908026","1","2.964833124","5.942799375","1.285176405","7.101831711"
"1","L","Acids","Olefins","linolenic acid","CCC=CCC=CCC=CCCCCCCCC(=O)O","C18H30O2","NREL (2014)","Other Ignition Delay Method","20","0.684210526","5.892483895","-0.042636504","0.045643546","0.905033363","1.343012575","0.204124145","0","0.990565862","0.061035386","7","2.916944262","5.942799375","1.285176405","7.167891529"
"2","V","Acids","Olefins","oleic acid","CCCCCCCCC=CCCCCCCCC(=O)O","C18H34O2","NREL (2014)","Other Ignition Delay Method","46","0.789473684","5.191542396","-0.039293578","0.045643546","0.902947111","1.455696705","0.204124145","0","0.948147076","0.065294302","3","2.946858904","5.942799375","1.285176405","7.120415915"
"3","V","Acids","","decanoic acid","CCCCCCCCCC(=O)O","C10H20O2","BioCompoundML (2016)","Unknown","48","0.727272727","5.690759737","-0.052539079","0.045643546","0.9664845","1.521780378","0.204124145","0","0.9429863","0.019719836","1","2.124151551","5.398162702","0.578069624","7.20499025"
"4","T","Acids","Olefins","linoleic acid","CCCCCC=CCC=CCCCCCCCC(=O)O","C18H32O2","BioCompoundML (2016)","Unknown","31","0.736842105","5.52029988","-0.040880374","0.045643546","0.904764379","1.399408286","0.204124145","0","0.992371394","0.168998102","5","2.930093777","5.942799375","1.285176405","7.142145138"
"5","L","Alcohols","Olefins","beta-citronellol","CC(CCC=C(C)C)CCO","C10H20O","Marquardt (2015)","IQT","25.6","0.5","5.673277318","-0.073108542","0.612372436","-0.125529578","1.474072221","0.696923425","0","1.349509585","0.085497814","2","2.214319129","5.442417711","0.563356565","7.166520629"
"6","L","Alcohols","Olefins","Linolenyl alcohol ","CCC=CCC=CCC=CCCCCCCCCO","C18H32O","NREL (2014)","Other Ignition Delay Method","41","0.722222222","5.123076579","-0.059978308","0","-0.235744637","1.372839905","0","0","0.985170519","0.042274036","6","2.904881885","5.82008293","1.222271824","7.06567278"
"7","L","Alcohols","Ethers","3-methoxy-3-methyl-1-butanol","CC(C)(CCO)OC","C6H14O2","Marquardt (2015)","IQT","10","0.428571429","7.557929585","-0.059391167","0.946923425","-0.398113421","1.795919825","1.383883476","3.355127701","0","0.139164609","0","1.237427872","5.361292166","0","7.764015911"
"8","L","Alcohols","","3,7-dimethyl-1-octanol","CC(C)CCCC(C)CCO","C10H22O","Marquardt (2015)","IQT","29.3","0.6","5.061642683","-0.068678418","0.696923425","-0.139107842","1.576017089","0.696923425","0","1.252264014","0.027149604","0","2.279925624","5.442417711","0.563356565","7.110852524"
"9","L","Alcohols","","isobutanol","CC(C)CO","C4H10O","NREL (2014)","IQT","8.5","0.25","7.117066507","-0.106988175","0.182574186","-0.136179289","1.696559902","0","0","0","0.025154658","0","0.399277246","4.394449155","0","7.257444"
"10","L","Alcohols","","2-nonanol","CCCCCCCC(C)O","C9H20O","NREL (2014)","IQT","39.6","0.666666667","5.283533327","-0.071894868","0.129099445","-0.0164024","1.584716137","0.204124145","0","0.91168637","0.030198213","0","1.953316129","5.198497031","0.401292929","7.1769368"
"11","L","Alcohols","","2-butanol","CCC(C)O","C4H10O","NREL (2014)","IQT","8.5","0.25","7.435714745","-0.106988175","0.182574186","0.003652711","1.696559902","0","0","0","0.02635579","0","0.399277246","4.394449155","0","7.461525333"
"12","L","Alcohols","Olefins","oleyl alcohol","CCCCCCCCC=CCCCCCCCCO","C18H36O","NREL (2014)","Other Ignition Delay Method","51","0.833333333","4.558545255","-0.055694252","0","-0.241360156","1.485490674","0","0","0.955609353","0.042541649","2","2.935114488","5.82008293","1.222271824","7.03501589"
"13","L","Alcohols","","pentan-1-ol","CCCCCO","C5H12O","NREL (2014)","CFR","18.2","0.6","5.18683909","-0.095038736","0","-0.160292247","1.655711089","0","0","0","0.026464035","0","1.18872514","4.343805422","0","7.130086667"
"14","L","Alcohols","","nonan-1-ol","CCCCCCCCCO","C9H20O","NREL (2014)","CFR","45","0.777777778","4.638474615","-0.071894868","0","-0.1799504","1.584716137","0","0","0.91168637","0.027993466","0","1.935849356","5.056245805","0.426776695","7.0615064"
"15","L","Alcohols","Olefins","palmitoleyl alcohol","CCCCCCC=CCCCCCCCCO","C16H32O","NREL (2014)","Other Ignition Delay Method","46","0.8125","4.63475724","-0.058689162","0","-0.226589808","1.483695731","0","0","0.953370583","0.03223793","2","2.81398939","5.693732139","1.045495129","7.04179137"
"16","L","Alcohols","","1-heptanol","CCCCCCCO","C7H16O","NREL (2014)","IQT","29","0.714285714","4.826383331","-0.080567929","0","-0.168148806","1.609800468","0","0","0.907145274","0.027379884","0","1.552449604","4.762173935","0.25","7.08496807"
"17","L","Alcohols","","1-decanol","CCCCCCCCCCO","C10H22O","NREL (2014)","CFR","50","0.8","4.574119718","-0.068678418","0","-0.186539842","1.576017089","0","0","0.916580146","0.028206027","0","2.112609688","5.176149733","0.515165043","7.05354619"
"18","L","Alcohols","Cyclic","cyclohexanol","C1CCC(CC1)O","C6H12O","Marquardt (2015)","IQT","16.3","0","5.763918157","-0.089322694","0.182574186","-0.054967014","1.380543359","0.433012702","0","0","0.094286191","0","1.370958447","5.209486153","0.204124145","7.268238889"
"19","L","Alcohols","","hexan-1-ol","CCCCCCO","C6H14O","NREL (2014)","CFR","23.3","0.666666667","4.972867778","-0.0867328","0","-0.163457633","1.628819317","0","0","1.037714299","0.026900106","0","1.377642251","4.574710979","0.176776695","7.1032975"
"20","L","Alcohols","","tetradecan-1-ol","CCCCCCCCCCCCCCO","C14H30O","NREL (2014)","CFR","80.8","0.857142857","4.410389463","-0.059660227","0","-0.215022262","1.553858124","0","0","0.934014817","0.028881345","0","2.642867056","5.549076085","0.868718434","7.033645667"
"21","L","Alcohols","Olefins","linoleyl alcohol","CCCCCC=CCC=CCCCCCCCCO","C18H34O","NREL (2014)","Other Ignition Delay Method","44","0.777777778","4.825117196","-0.057730734","0","-0.23819568","1.429212823","0","0","0.99251268","0.102217442","4","2.918268929","5.82008293","1.222271824","7.04908603"
